# mu	 epsilon	 mse	 qfi	 cfi_det
2.36506100e+00	6.20353832e-02	7.39548004e-02	2.04590013e+02	2.88999849e+03
2.36505490e+00	6.22951773e-02	7.35986985e-02	2.04589445e+02	2.84429235e+03
2.36504441e+00	6.23789920e-02	7.34601430e-02	2.04588665e+02	2.82630619e+03
2.36503996e+00	6.23044251e-02	7.35532464e-02	2.04589373e+02	2.83856215e+03
2.36504096e+00	6.20873150e-02	7.38715201e-02	2.04590124e+02	2.87518186e+03
2.36504687e+00	6.20419159e-02	7.39465331e-02	2.04590033e+02	2.88302293e+03
2.36504718e+00	6.21510567e-02	7.37904992e-02	2.04590107e+02	2.86444089e+03
2.36505246e+00	6.20992834e-02	7.38789550e-02	2.04590134e+02	2.87725544e+03
2.36505221e+00	6.22026875e-02	7.37313870e-02	2.04589969e+02	2.85974884e+03
2.36504698e+00	6.21457511e-02	7.37980713e-02	2.04590115e+02	2.86533782e+03
2.36504728e+00	6.19445084e-02	7.40862725e-02	2.04589547e+02	2.89984504e+03
2.36504255e+00	6.19133899e-02	7.41246470e-02	2.04589308e+02	2.90506462e+03
2.36504329e+00	6.20353833e-02	7.39495415e-02	2.04590013e+02	2.88394174e+03
2.36504896e+00	6.22951774e-02	7.35868891e-02	2.04589445e+02	2.84428859e+03
2.36505906e+00	6.23789920e-02	7.34665009e-02	2.04588665e+02	2.83131091e+03
2.36506315e+00	6.23044252e-02	7.35676524e-02	2.04589373e+02	2.90991165e+03
2.36506184e+00	6.20873151e-02	7.38791217e-02	2.04590124e+02	2.88101675e+03
2.36505565e+00	6.20419159e-02	7.39484590e-02	2.04590033e+02	2.88761820e+03
2.36504508e+00	6.21510567e-02	7.37841639e-02	2.04590107e+02	2.86423913e+03
2.36504057e+00	6.20992834e-02	7.38454365e-02	2.04590134e+02	2.87299356e+03
