# mu	 epsilon	 mse	 qfi	 cfi_det
2.36449997e+00	9.68458967e-02	7.18111142e-02	3.66537237e+01	2.41315518e+01
2.36454997e+00	9.65123801e-02	7.18911000e-02	3.66535579e+01	2.41873724e+01
2.36459997e+00	9.63622152e-02	7.17437026e-02	3.66533096e+01	2.43734978e+01
2.36464997e+00	9.63770667e-02	7.19184848e-02	3.66533389e+01	2.46116678e+01
2.36469997e+00	9.65404331e-02	7.17471924e-02	3.66535923e+01	2.47555731e+01
2.36474997e+00	9.68374629e-02	7.15699755e-02	3.66537261e+01	2.47914895e+01
2.36479997e+00	9.69547897e-02	7.13774827e-02	3.66536632e+01	2.48048294e+01
2.36484997e+00	9.69103838e-02	7.12594478e-02	3.66536947e+01	2.49166265e+01
2.36489997e+00	9.67204185e-02	7.14136139e-02	3.66537236e+01	2.50308283e+01
2.36494997e+00	9.66994497e-02	7.12563004e-02	3.66537162e+01	2.50588371e+01
2.36499997e+00	9.68305778e-02	7.11947904e-02	3.66537277e+01	2.52116026e+01
2.36504997e+00	9.67985931e-02	7.12010930e-02	3.66537325e+01	2.52558132e+01
2.36509997e+00	9.66198069e-02	7.12292676e-02	3.66536693e+01	2.53682896e+01
2.36514997e+00	9.66088992e-02	7.09489012e-02	3.66536605e+01	2.54437145e+01
2.36519997e+00	9.67490824e-02	7.07094703e-02	3.66537302e+01	2.54720161e+01
2.36524997e+00	9.70252472e-02	7.03937655e-02	3.66535940e+01	2.54498910e+01
2.36529997e+00	9.71237956e-02	7.01255901e-02	3.66534578e+01	2.54026932e+01
2.36534997e+00	9.70624891e-02	7.01450581e-02	3.66535479e+01	2.55222733e+01
2.36539997e+00	9.68573133e-02	7.01383663e-02	3.66537200e+01	2.54190187e+01
2.36544997e+00	9.65226550e-02	7.01401471e-02	3.66535709e+01	2.56142675e+01
2.36549997e+00	9.63714626e-02	7.01711715e-02	3.66533280e+01	2.57847931e+01
2.36554997e+00	9.63853894e-02	7.01173146e-02	3.66533549e+01	2.58428263e+01
2.36559997e+00	9.65479235e-02	6.97868591e-02	3.66536008e+01	2.56610682e+01
2.36563997e+00	9.68442042e-02	6.93955917e-02	3.66537242e+01	2.55572301e+01
2.36567097e+00	9.69608569e-02	6.91499021e-02	3.66536581e+01	2.53818588e+01
2.36569387e+00	9.69158443e-02	6.90108581e-02	3.66536913e+01	2.54429750e+01
2.36570948e+00	9.67253329e-02	6.91448514e-02	3.66537250e+01	2.54746655e+01
2.36571853e+00	9.67038727e-02	6.91604538e-02	3.66537180e+01	2.54808193e+01
2.36572167e+00	9.68345585e-02	6.90655143e-02	3.66537268e+01	2.54433548e+01
2.36571950e+00	9.68021757e-02	6.90890229e-02	3.66537322e+01	2.54526359e+01
2.36571255e+00	9.66230312e-02	6.92192719e-02	3.66536717e+01	2.55040069e+01
2.36570129e+00	9.66118012e-02	6.92275995e-02	3.66536629e+01	2.55127476e+01
2.36568616e+00	9.67516941e-02	6.92138295e-02	3.66537306e+01	2.54899903e+01
2.36566754e+00	9.70275978e-02	6.91035208e-02	3.66535913e+01	2.53532812e+01
2.36564579e+00	9.71259111e-02	6.91975565e-02	3.66534543e+01	2.54562044e+01
2.36562120e+00	9.70643931e-02	6.93668981e-02	3.66535454e+01	2.55974109e+01
2.36559408e+00	9.68590268e-02	6.95539686e-02	3.66537194e+01	2.56136935e+01
2.36556467e+00	9.65241972e-02	7.00229463e-02	3.66535728e+01	2.57648361e+01
2.36554320e+00	9.63728506e-02	7.01122264e-02	3.66533307e+01	2.58546883e+01
2.36552888e+00	9.63866386e-02	7.01059942e-02	3.66533573e+01	2.58003966e+01
